orphanet id	name	prevalence count
213772	Adenocarcinoma of the cervix uteri	24
171901	Primary cutaneous T-cell lymphoma	24
870	Down syndrome	24
398971	Clear cell adenocarcinoma of the ovary	24
398961	Mucinous adenocarcinoma of ovary	24
276145	Malignant epithelial tumor of salivary glands	24
398058	Squamous cell carcinoma of the penis	24
3299	Tetanus	24
213531	Metaplastic carcinoma of the breast	24
180275	Paget disease of the nipple	24
213504	Adenocarcinoma of ovary	24
418951	Undifferentiated carcinoma of esophagus	24
781	Q fever	24
99756	Alveolar rhabdomyosarcoma	23
213716	Squamous cell carcinoma of the corpus uteri	23
99757	Embryonal rhabdomyosarcoma	23
213557	Salivary gland type cancer of the breast	23
86893	Nodular lymphocyte predominant Hodgkin lymphoma	23
424943	Adenocarcinoma of the liver and intrahepatic biliary tract	23
363489	Sex cord-stromal tumor of testis	23
424016	Adenocarcinoma of the anal canal	23
424019	Squamous cell carcinoma of the anal canal	23
3303	Tetralogy of Fallot	23
3388	Neural tube defect	23
424002	Squamous cell carcinoma of the rectum	23
424996	Squamous cell carcinoma of gallbladder and extrahepatic biliary tract	23
881	Turner syndrome	23
1880	Ebstein malformation of the tricuspid valve	22
79276	Acute intermittent porphyria	22
823	Isolated spina bifida	22
424039	Squamous cell carcinoma of pancreas	22
423994	Squamous cell carcinoma of the colon	22
401920	Fibrolamellar hepatocellular carcinoma	22
79278	Autosomal erythropoietic protoporphyria	22
370334	Extraskeletal Ewing sarcoma	22
2140	Congenital diaphragmatic hernia	22
79473	Porphyria variegata	22
727	Microscopic polyangiitis	21
963	Acromegaly	21
1199	Esophageal atresia	21
424046	Acinar cell carcinoma of pancreas	21
3287	Takayasu arteritis	21
3378	Trisomy 13	21
557	Non-syndromic anorectal malformation	21
1457	Aorta coarctation	20
340	Hemorrhagic fever-renal syndrome	20
2368	Gastroschisis	20
423968	Squamous cell carcinoma of the small intestine	20
79213	Mucopolysaccharidosis	20
47	X-linked agammaglobulinemia	19
183	Eosinophilic granulomatosis with polyangiitis	19
582	Mucopolysaccharidosis type 4	19
424970	Undifferentiated carcinoma of liver and intrahepatic biliary tract	19
3189	Congenital pulmonary valvar stenosis	19
1209	Tricuspid atresia	19
98976	Congenital glaucoma	18
418945	Carcinoma of esophagus, salivary gland type	18
171	Primary sclerosing cholangitis	18
216675	Transposition of the great arteries	18
418	Congenital adrenal hyperplasia	18
30391	Isolated biliary atresia	18
424975	Squamous cell carcinoma of liver and intrahepatic biliary tract	18
3169	Sirenomelia	18
1848	Renal agenesis, bilateral	18
2032	Idiopathic pulmonary fibrosis	17
83463	Microtia	17
324625	Chikungunya	17
52688	Myelodysplastic syndrome	17
117	Behçet disease	17
398053	Adenocarcinoma of the penis	17
42	Medium chain acyl-CoA dehydrogenase deficiency	17
2137	Autoimmune hepatitis	17
95	Friedreich ataxia	17
98723	Hypoplastic right heart syndrome	17
137914	Choanal atresia	17
675	Annular pancreas	16
1915	Fetal alcohol syndrome	16
3384	Truncus arteriosus	16
275766	Idiopathic pulmonary arterial hypertension	16
273	Steinert myotonic dystrophy	16
355	Gaucher disease	15
499009	Congenital syphilis	15
424982	Biliary cystadenocarcinoma	15
90291	Systemic sclerosis	15
98896	Duchenne muscular dystrophy	15
93976	Anotia	15
739	Prader-Willi syndrome	15
289390	Primary Sjögren syndrome	14
718	Isolated Pierre Robin syndrome	14
2444	Congenital pulmonary airway malformation	14
101997	Primary immunodeficiency	14
858	Congenital toxoplasmosis	14
363478	Paratesticular adenocarcinoma	14
1201	Atresia of small intestine	14
305	Junctional epidermolysis bullosa	13
173	Cholera	13
538	Lymphangioleiomyomatosis	13
98895	Becker muscular dystrophy	13
677	Pancreatoblastoma	13
15	Achondroplasia	13
166096	Von Willebrand disease type 3	13
930	Idiopathic achalasia	13
424058	Intraductal papillary mucinous carcinoma of pancreas	13
102	Multiple system atrophy	13
424053	Mucinous cystadenocarcinoma of the pancreas	13
79241	Biotinidase deficiency	12
487	Krabbe disease	12
1572	Common variable immunodeficiency	12
845	Tay-Sachs disease	12
365	Glycogen storage disease due to acid maltase deficiency	12
424065	Solid pseudopapillary carcinoma of pancreas	12
72	Angelman syndrome	12
182090	Pulmonary arterial hypertension	12
512	Metachromatic leukodystrophy	12
131	Budd-Chiari syndrome	12
733	Familial adenomatous polyposis	12
290	Congenital rubella syndrome	12
206647	Myotonic dystrophy	12
886	Usher syndrome	11
166	Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy	11
905	Wilson disease	11
3386	American trypanosomiasis	11
168491	Late infantile neuronal ceroid lipofuscinosis	11
232	Sickle cell anemia	11
90794	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency	11
1656	Dermatitis herpetiformis	11
778	Rett syndrome	11
685	Hereditary spastic paraplegia	10
636	Neurofibromatosis type 1	10
511	Maple syrup urine disease	10
3451	Infantile spasms syndrome	10
324	Fabry disease	10
863	Trichinellosis	10
683	Progressive supranuclear palsy	10
469	Hereditary fructose intolerance	10
309297	Mucopolysaccharidosis type 4A	10
2573	Moyamoya disease	10
213	Cystinosis	10
79264	Juvenile neuronal ceroid lipofuscinosis	10
5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	10
79140	Cutaneous neuroendocrine carcinoma	10
510	Lesch-Nyhan syndrome	10
2932	Chronic inflammatory demyelinating polyneuropathy	10
767	Polyarteritis nodosa	10
91349	Non-functioning pituitary adenoma	9
394	Classic homocystinuria	9
93473	Hurler syndrome	9
183669	Agammaglobulinemia	9
3099	Rheumatic fever	9
791	Retinitis pigmentosa	9
183660	Severe combined immunodeficiency	9
97363	Unilateral multicystic dysplastic kidney	9
910	Xeroderma pigmentosum	9
888	Van der Woude syndrome	9
275803	Pulmonary arterial hypertension associated with congenital heart disease	9
553	Cushing syndrome	9
646	Niemann-Pick disease type C	9
214	Cystinuria	9
58017	Classic hairy cell leukemia	9
87	Apert syndrome	9
2655	Thanatophoric dysplasia	9
424080	Osteoclastic giant cell tumor of pancreas	9
83476	West-Nile encephalitis	9
584	Mucopolysaccharidosis type 7	9
796	Sandhoff disease	9
263	Limb-girdle muscular dystrophy	8
79239	Classic galactosemia	8
44890	Gastrointestinal stromal tumor	8
2162	Holoprosencephaly	8
70567	Cholangiocarcinoma	8
92	Juvenile idiopathic arthritis	8
29073	Multiple myeloma	8
397	Giant cell arteritis	8
275798	Pulmonary arterial hypertension associated with connective tissue disease	8
536	Systemic lupus erythematosus	8
25	Glutaryl-CoA dehydrogenase deficiency	8
191	Cockayne syndrome	8
1866	Focal, segmental or multifocal dystonia	8
85447	ATTRV30M amyloidosis	8
99885	Isolated permanent neonatal diabetes mellitus	8
303	Dystrophic epidermolysis bullosa	8
99745	Typhoid	8
829	Adult-onset Still disease	8
732	Polymyositis	8
1906	Fetal valproate spectrum disorder	8
704	Pemphigus vulgaris	8
221	Dermatomyositis	8
647	Nijmegen breakage syndrome	8
35	Propionic acidemia	8
70578	Adult acute respiratory distress syndrome	8
56	Alkaptonuria	8
64741	Pulmonary blastoma	8
100	Ataxia-telangiectasia	8
882	Tyrosinemia type 1	7
2103	Guillain-Barré syndrome	7
519	Acute myeloid leukemia	7
377	Gorlin syndrome	7
70476	Vernal keratoconjunctivitis	7
91546	Lyme disease	7
360	Glioblastoma	7
774	Hereditary hemorrhagic telangiectasia	7
61	Alpha-mannosidosis	7
63443	Rare epithelial tumor of stomach	7
3002	Immune thrombocytopenia	7
56044	Carcinoma of gallbladder and extrahepatic biliary tract	7
97253	Neuroendocrine tumor of pancreas	7
664	Ornithine transcarbamylase deficiency	7
908	Fragile X syndrome	7
33226	Waldenström macroglobulinemia	7
657	Congenital isolated hyperinsulinism	7
84	Fanconi anemia	7
2467	Systemic mastocytosis	7
79269	Sanfilippo syndrome type A	7
46487	Epidermolysis bullosa acquisita	7
906	Wiskott-Aldrich syndrome	7
2073	Narcolepsy type 1	7
811	Shwachman-Diamond syndrome	7
1048	Isolated anencephaly/exencephaly	7
42738	Severe congenital neutropenia	7
818	Smith-Lemli-Opitz syndrome	7
563	Peripartum cardiomyopathy	7
93598	Primary hyperoxaluria type 1	6
216	Neuronal ceroid lipofuscinosis	6
309294	Sialidosis	6
3463	Wolfram syndrome	6
6	3-methylcrotonyl-CoA carboxylase deficiency	6
407	Glycine encephalopathy	6
158	Systemic primary carnitine deficiency	6
54	X-linked recessive ocular albinism	6
2440	Isolated split hand-split foot malformation	6
284	Alveolar echinococcosis	6
666	Osteogenesis imperfecta	6
611	Inclusion body myositis	6
79270	Sanfilippo syndrome type B	6
809	Mixed connective tissue disease	6
79263	Infantile neuronal ceroid lipofuscinosis	6
269	Facioscapulohumeral dystrophy	6
268369	Spina bifida aperta	6
861	Treacher-Collins syndrome	6
558	Marfan syndrome	6
913	Zollinger-Ellison syndrome	6
564	Meckel syndrome	6
337	Fibrodysplasia ossificans progressiva	6
614	Thomsen and Becker disease	6
79271	Sanfilippo syndrome type C	6
703	Bullous pemphigoid	6
576	Mucolipidosis type II	6
99	Autosomal dominant cerebellar ataxia	6
85443	AL amyloidosis	6
116	Beckwith-Wiedemann syndrome	6
567	22q11.2 deletion syndrome	6
104	Leber hereditary optic neuropathy	6
48104	Pyoderma gangrenosum	6
422	Idiopathic/heritable pulmonary arterial hypertension	6
342	Familial Mediterranean fever	6
60	Alpha-1-antitrypsin deficiency	6
550	MELAS	5
321	Multiple osteochondromas	5
79361	Inherited epidermolysis bullosa	5
3006	Pyridoxine-dependent epilepsy	5
89936	X-linked hypophosphatemia	5
904	Williams syndrome	5
95455	Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum	5
877	Neuroendocrine neoplasm	5
147	Carbamoyl-phosphate synthetase 1 deficiency	5
828	Stickler syndrome	5
792	X-linked retinoschisis	5
79404	Severe generalized junctional epidermolysis bullosa	5
813	Silver-Russell syndrome	5
2116	Hartnup disease	5
26793	Very long chain acyl-CoA dehydrogenase deficiency	5
3318	Essential thrombocythemia	5
391665	Homozygous familial hypercholesterolemia	5
178478	Infant botulism	5
635	Neuroblastoma	5
52	Alagille syndrome	5
79189	Peroxisome biogenesis disorder	5
1531	Craniosynostosis	5
892	Von Hippel-Lindau disease	5
470	Lysinuric protein intolerance	5
854	Primitive portal vein thrombosis	5
1172	Autosomal recessive cerebellar ataxia	5
521	Chronic myeloid leukemia	5
801	Scleroderma	5
93930	Bladder exstrophy	5
217074	Rare carcinoma of pancreas	5
3440	Waardenburg syndrome	5
134	Beta-ketothiolase deficiency	5
513	Acute lymphoblastic leukemia	5
1243	Best vitelliform macular dystrophy	5
375	Anti-glomerular basement membrane disease	5
118	Beta-mannosidosis	5
140874	Joubert syndrome and related disorders	5
168999	Malignant melanoma of the mucosa	5
182095	Interstitial lung disease	5
256	Early-onset generalized limb-onset dystonia	5
398043	Malignant tumor of penis	5
819	Smith-Magenis syndrome	5
33	Isovaleric acidemia	5
728	Relapsing polychondritis	5
301	Ependymal tumor	5
79432	Oculocutaneous albinism type 2	5
98293	Hodgkin lymphoma	5
224	Neonatal diabetes mellitus	5
182067	Glial tumor	5
3280	Syringomyelia	5
2542	Isolated microphthalmia-anophthalmia-coloboma	5
93929	Cloacal exstrophy	5
247525	Citrullinemia type I	5
124	Blackfan-Diamond anemia	5
2970	Prune belly syndrome	5
354	GM1 gangliosidosis	5
391490	Adult-onset myasthenia gravis	5
799	Schizencephaly	4
100075	Neuroendocrine tumor of stomach	4
88661	Amelogenesis imperfecta	4
54595	Craniopharyngioma	4
180242	Malignant tumor of fallopian tubes	4
506	Leigh syndrome	4
505652	CDKL5-deficiency disorder	4
902	Werner syndrome	4
783	Rubinstein-Taybi syndrome	4
481	Kennedy disease	4
821	Sotos syndrome	4
33475	Meningococcal meningitis	4
684	Paramyotonia congenita of Von Eulenburg	4
228371	Foodborne botulism	4
388	Hirschsprung disease	4
26790	Pseudomyxoma peritonei	4
398147	Persistent idiopathic facial pain	4
543	Burkitt lymphoma	4
93	Aspartylglucosaminuria	4
97279	Insulinoma	4
668	Osteosarcoma	4
70591	Chronic thromboembolic pulmonary hypertension	4
503	Larsen syndrome	4
270	Oculopharyngeal muscular dystrophy	4
111	Barth syndrome	4
178320	Acute lung injury	4
304	Epidermolysis bullosa simplex	4
1302	Cryptogenic organizing pneumonia	4
250923	Isolated aniridia	4
535	Rare cutaneous lupus erythematosus	4
478	Kallmann syndrome	4
899	Walker-Warburg syndrome	4
99918	Streptococcal toxic-shock syndrome	4
39044	Uveal melanoma	4
848	Beta-thalassemia	4
110	Bardet-Biedl syndrome	4
37553	Andersen-Tawil syndrome	4
37202	Interstitial cystitis	4
100087	Thyroid tumor	4
65	Leber congenital amaurosis	4
2965	Prolactinoma	4
85138	Addison disease	4
138	CHARGE syndrome	4
909	Cerebrotendinous xanthomatosis	4
501	Lafora disease	4
2322	Kabuki syndrome	4
2157	Histidinemia	4
3452	Whipple disease	4
46486	Mucous membrane pemphigoid	4
415	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome	4
98759	Spinocerebellar ataxia type 17	4
747	Autoimmune pulmonary alveolar proteinosis	4
520	Acute promyelocytic leukemia	4
157	Carnitine palmitoyltransferase II deficiency	4
79501	Punctate palmoplantar keratoderma type 1	4
50	Aicardi syndrome	4
53	Albers-Schönberg osteopetrosis	4
85	Congenital dyserythropoietic anemia	4
91378	Hereditary angioedema	4
34515	FKRP-related limb-girdle muscular dystrophy R9	4
1930	Herpes simplex virus encephalitis	4
45453	Incessant infant ventricular tachycardia	4
23	Argininosuccinic aciduria	4
1198	Colonic atresia	4
101330	Porphyria cutanea tarda	4
2911	Poland syndrome	4
565	Menkes disease	4
589821	Congenital-onset Steinert myotonic dystrophy	4
60032	Recurrent respiratory papillomatosis	4
98375	Autoimmune hemolytic anemia	4
289	Ellis Van Creveld syndrome	4
754	Androgen insensitivity syndrome	4
112	Bartter syndrome	4
424073	Serous cystadenocarcinoma of pancreas	4
570762	Infective endocarditis	4
63275	Pemphigoid gestationis	4
3129	Sarcosinemia	4
293181	Malignant migrating focal seizures of infancy	4
976	Adenine phosphoribosyltransferase deficiency	4
267	Calpain-3-related limb-girdle muscular dystrophy R1	4
637	Neurofibromatosis type 2	4
352	Galactosemia	4
20	3-hydroxy-3-methylglutaric aciduria	4
156152	Anti-neutrophil cytoplasmic antibody-associated vasculitis	4
2901	Neuralgic amyotrophy	4
1037	Arthrogryposis multiplex congenita	4
168956	Hypereosinophilic syndrome	4
8	47,XYY syndrome	4
98673	Autosomal dominant optic atrophy, classic form	4
98672	Autosomal dominant optic atrophy	4
1041	Hydrops fetalis	4
231214	Beta-thalassemia major	4
1516	Non-syndromic bilambdoid and sagittal craniosynostosis	4
218	Darier disease	4
606	Proximal myotonic myopathy	4
2177	Hydranencephaly	4
199306	Cleft lip/palate	4
281097	Autosomal recessive congenital ichthyosis	4
252175	Vestibular schwannoma	4
263479	Fuchs heterochromic iridocyclitis	3
3198	Stiff person spectrum disorder	3
79258	Glycogen storage disease due to glucose-6-phosphatase deficiency type Ia	3
2806	Subacute sclerosing leukoencephalitis	3
746	Mitochondrial trifunctional protein deficiency	3
2059	Fryns syndrome	3
98292	Mastocytosis	3
263413	Angiosarcoma	3
1183	Opsoclonus-myoclonus syndrome	3
2052	Fraser syndrome	3
2108	Hallermann-Streiff syndrome	3
770	Rabies	3
808	Seckel syndrome	3
3467	Hereditary xanthinuria	3
1934	Early infantile epileptic encephalopathy	3
2070	Eosinophilic gastroenteritis	3
91385	Acquired angioedema	3
79277	Congenital erythropoietic porphyria	3
676	Hereditary chronic pancreatitis	3
79318	PMM2-CDG	3
3027	Caudal regression syndrome	3
931	Acheiropodia	3
261272	17q12 microduplication syndrome	3
2512	Autosomal recessive primary microcephaly	3
2138	46,XX ovotesticular disorder of sex development	3
55881	Adamantinoma	3
1681	Diprosopus	3
293	Congenital herpes simplex virus infection	3
84064	Syndromic diarrhea	3
425	Apolipoprotein A-I deficiency	3
2576	Mulibrey nanism	3
69077	Rhabdoid tumor	3
83313	Boutonneuse fever	3
79433	Oculocutaneous albinism type 3	3
79408	Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form	3
475	Joubert syndrome	3
69078	Liposarcoma	3
529808	Chronic bilirubin encephalopathy	3
55880	Chondrosarcoma	3
83469	Desmoplastic small round cell tumor	3
136	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy	3
1762	Proximal Xq28 duplication syndrome	3
742	Prolidase deficiency	3
528	Congenital generalized lipodystrophy	3
392	Holt-Oram syndrome	3
1177	Early-onset cerebellar ataxia with retained tendon reflexes	3
242	46,XY complete gonadal dysgenesis	3
1699	Trisomy 12p	3
261265	17q12 microdeletion syndrome	3
798	Schinzel-Giedion syndrome	3
363472	Tumor of testis and paratestis	3
2495	Meningioma	3
363999	Non-immune hydrops fetalis	3
3453	Autoimmune polyendocrinopathy type 1	3
37	Acrodermatitis enteropathica	3
3206	Stüve-Wiedemann syndrome	3
293202	Epithelioid sarcoma	3
1873	Jalili syndrome	3
146	Differentiated thyroid carcinoma	3
766	Hemolytic anemia due to red cell pyruvate kinase deficiency	3
293173	Acute generalized exanthematous pustulosis	3
83317	Scrub typhus	3
85198	Dysspondyloenchondromatosis	3
13	6-pyruvoyl-tetrahydropterin synthase deficiency	3
822	Hereditary spherocytosis	3
75234	Cholesteryl ester storage disease	3
71277	Classic glucose transporter type 1 deficiency syndrome	3
616	Medulloblastoma	3
1114	Aplasia cutis congenita	3
464	Incontinentia pigmenti	3
596	X-linked centronuclear myopathy	3
2473	McKusick-Kaufman syndrome	3
46484	Oligodendroglial tumor	3
3162	Sézary syndrome	3
583861	Isolated mesenteric vein thrombosis	3
873	Desmoid tumor	3
168811	Malignant peritoneal mesothelioma	3
2461	Marden-Walker syndrome	3
46488	Linear IgA dermatosis	3
52416	Mantle cell lymphoma	3
826	Sporotrichosis	3
52417	MALT lymphoma	3
45452	Idiopathic neonatal atrial flutter	3
199	Cornelia de Lange syndrome	3
1991	Cleft lip with or without cleft palate	3
2189	Hydrolethalus	3
98757	Spinocerebellar ataxia type 3	3
312	Autosomal dominant epidermolytic ichthyosis	3
45448	Miyoshi myopathy	3
55	Oculocutaneous albinism	3
3394	Soft tissue sarcoma	3
48372	Nodular regenerative hyperplasia of the liver	3
300912	Marginal zone lymphoma	3
313	Lamellar ichthyosis	3
247234	Sporadic adult-onset ataxia of unknown etiology	3
137839	Lemierre syndrome	3
351	Galactosialidosis	3
2185	Congenital hydrocephalus	3
2968	Leukocyte adhesion deficiency	3
175	Cartilage-hair hypoplasia	3
3403	Uhl anomaly	3
2369	Limb body wall complex	3
34587	Glycogen storage disease due to LAMP-2 deficiency	3
1335	Pentalogy of Cantrell	3
90	Argininemia	3
125	Bloom syndrome	3
41	Dyschromatosis symmetrica hereditaria	3
98863	X-linked Emery-Dreifuss muscular dystrophy	3
300557	Carcinoma of the ampulla of Vater	3
1340	Cardiofaciocutaneous syndrome	3
2750	Orofaciodigital syndrome type 1	3
1452	Cleidocranial dysplasia	3
139417	Acute transverse myelitis	3
275777	Heritable pulmonary arterial hypertension	3
245	Nager syndrome	3
1332	Medullary thyroid carcinoma	3
570422	Galactose mutarotase deficiency	3
43393	Lambert-Eaton myasthenic syndrome	3
308552	Glycogen storage disease due to acid maltase deficiency, infantile onset	3
454836	Avian influenza	3
50251	Pleural mesothelioma	3
221091	Trigeminal neuralgia	3
480	Kearns-Sayre syndrome	3
99926	Gestational choriocarcinoma	3
262	Duchenne and Becker muscular dystrophy	3
461	Recessive X-linked ichthyosis	3
99928	Placental site trophoblastic tumor	3
577	Mucolipidosis type III	3
578	Mucolipidosis type IV	3
99867	Thymoma	3
447	Paroxysmal nocturnal hemoglobinuria	3
729	Polycythemia vera	3
53693	GRACILE syndrome	3
49041	IgG4-related retroperitoneal fibrosis	3
349	Fucosidosis	3
3398	Thymic epithelial neoplasm	3
333	Farber disease	3
353	Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5	3
842	Testicular seminomatous germ cell tumor	3
141	Canavan disease	3
319	Skeletal Ewing sarcoma	3
212	Cystathioninuria	3
534	Oculocerebrorenal syndrome of Lowe	3
141253	Oblique facial cleft	3
1361	Carnosinase deficiency	3
474	Jeune syndrome	3
101081	Charcot-Marie-Tooth disease type 1A	3
207	Crouzon syndrome	3
2869	Peutz-Jeghers syndrome	3
100980	Autosomal dominant pure spastic paraplegia	3
681	Hypokalemic periodic paralysis	3
628	Diastrophic dysplasia	3
682	Hyperkalemic periodic paralysis	3
2290	Microvillus inclusion disease	3
231183	Usher syndrome type 3	3
524	Li-Fraumeni syndrome	3
281	Monosomy 5p	3
181	X-linked hypohidrotic ectodermal dysplasia	3
1070	Anisakiasis	3
2940	Porencephaly	3
163596	Hb Bart's hydrops fetalis	3
51636	WHIM syndrome	3
251899	Choroid plexus carcinoma	3
414	Gyrate atrophy of choroid and retina	3
101	Dentatorubral pallidoluysian atrophy	3
50918	Kikuchi-Fujimoto disease	3
93583	Congenital thrombotic thrombocytopenic purpura	3
2614	Nail-patella syndrome	3
570	Moebius syndrome	3
97593	Pseudohypoparathyroidism	3
702	Pelizaeus-Merzbacher disease	3
805	Tuberous sclerosis complex	3
31150	Tangier disease	3
31202	Melioidosis	3
73217	Müllerian aplasia	3
96369	Early-onset schizophrenia	3
33402	Pediatric hepatocellular carcinoma	3
93256	Fragile X-associated tremor/ataxia syndrome	3
59	Allan-Herndon-Dudley syndrome	3
95716	Familial thyroid dyshormonogenesis	3
93110	Posterior urethral valve	3
154	Familial isolated dilated cardiomyopathy	3
70	Proximal spinal muscular atrophy	3
35858	Imerslund-Gräsbeck syndrome	3
96092	8p inverted duplication/deletion syndrome	3
816	Sjögren-Larsson syndrome	3
319218	Ebola hemorrhagic fever	3
210122	Congenital alveolar capillary dysplasia	3
254698	Epithelioid trophoblastic tumor	3
3319	Congenital amegakaryocytic thrombocytopenia	3
738	Porphyria	3
1234	Bartsocas-Papas syndrome	3
93616	Hemoglobin H disease	3
1902	Ehrlichiosis	3
3071	Costello syndrome	3
1270	Bowen-Conradi syndrome	3
284400	Small cell carcinoma of the bladder	3
416	Primary hyperoxaluria	3
2635	Metatropic dysplasia	3
2023	Undifferentiated pleomorphic sarcoma	3
33364	Trichothiodystrophy	3
466921	Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome	2
401945	Moyamoya disease with early-onset achalasia	2
401874	Multiple mitochondrial dysfunctions syndrome type 2	2
317	Erythrokeratodermia variabilis	2
1810	Autosomal dominant hypohidrotic ectodermal dysplasia	2
454745	Kuru	2
453533	Polyendocrine-polyneuropathy syndrome	2
629	Short stature due to growth hormone qualitative anomaly	2
453521	Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency	2
454710	Anti-p200 pemphigoid	2
401869	Multiple mitochondrial dysfunctions syndrome type 1	2
401866	Childhood-onset spasticity with hyperglycinemia	2
466962	SMARCA4-deficient sarcoma of thorax	2
457050	Autosomal dominant mitochondrial myopathy with exercise intolerance	2
466794	Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome	2
466801	LIMS2-related limb-girdle muscular dystrophy	2
456369	Polyglucosan body myopathy type 2	2
457205	Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome	2
401820	Autosomal recessive spastic paraplegia type 67	2
466926	Seizures-scoliosis-macrocephaly syndrome	2
451612	Familial congenital nasolacrimal duct obstruction	2
401815	Autosomal recessive spastic paraplegia type 66	2
457193	Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome	2
453499	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome	2
457212	Progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome	2
453504	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation	2
466934	VPS11-related autosomal recessive hypomyelinating leukodystrophy	2
451607	Cutaneous pseudolymphoma	2
454718	Holmes-Adie syndrome	2
454750	Isolated tracheoesophageal fistula	2
456328	X-linked myotubular myopathy-abnormal genitalia syndrome	2
466695	Supratip dysplasia	2
401901	Huntington disease-like syndrome due to C9ORF72 expansions	2
401942	Familial median cleft of the upper and lower lips	2
401935	14q24.1q24.3 microdeletion syndrome	2
466688	Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome	2
401911	AXIN2-related attenuated familial adenomatous polyposis	2
466950	Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation	2
198	Occipital horn syndrome	2
401923	9q31.1q31.3 microdeletion syndrome	2
2902	Idiopathic chronic eosinophilic pneumonia	2
464458	Paracetamol poisoning	2
662	Yellow nail syndrome	2
456298	1p35.2 microdeletion syndrome	2
456312	Infantile multisystem neurologic-endocrine-pancreatic disease	2
464370	Neonatal alloimmune neutropenia	2
3348	Tracheobronchopathia osteochondroplastica	2
466791	Macrocephaly-intellectual disability-left ventricular non compaction syndrome	2
466806	Autosomal dominant thrombocytopenia with platelet secretion defect	2
456318	Hereditary sensory neuropathy-deafness-dementia syndrome	2
466943	WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome	2
401959	Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome	2
401862	Lipoyl transferase 1 deficiency	2
401859	Lipoic acid synthetase deficiency	2
454723	Endometrioid carcinoma of ovary	2
3437	Vogt-Koyanagi-Harada disease	2
401953	Episodic ataxia with slurred speech	2
401849	Autosomal spastic paraplegia type 72	2
401948	Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency	2
468672	Colobomatous macrophthalmia-microcornea syndrome	2
401840	Autosomal recessive spastic paraplegia type 71	2
457223	Syndromic sensorineural deafness due to combined oxidative phosphorylation defect	2
