orphanet id	name_x	Symbol	name_y	prevalence count
70567	Cholangiocarcinoma	PTPN3	Cholangiocarcinoma	8
99885	Isolated permanent neonatal diabetes mellitus	INS	Isolated permanent neonatal diabetes mellitus	8
25	Glutaryl-CoA dehydrogenase deficiency	GCDH	Glutaryl-CoA dehydrogenase deficiency	8
79239	Classic galactosemia	GALT	Classic galactosemia	8
774	Hereditary hemorrhagic telangiectasia	GDF2	Hereditary hemorrhagic telangiectasia	7
377	Gorlin syndrome	PTCH2	Gorlin syndrome	7
33226	Waldenström macroglobulinemia	MYD88	Waldenström macroglobulinemia	7
84	Fanconi anemia	UBE2T	Fanconi anemia	7
811	Shwachman-Diamond syndrome	DNAJC21	Shwachman-Diamond syndrome	7
664	Ornithine transcarbamylase deficiency	OTC	Ornithine transcarbamylase deficiency	7
3002	Immune thrombocytopenia	FCGR2C	Immune thrombocytopenia	7
2073	Narcolepsy type 1	CTSH	Narcolepsy type 1	7
908	Fragile X syndrome	FMR1	Fragile X syndrome	7
818	Smith-Lemli-Opitz syndrome	DHCR7	Smith-Lemli-Opitz syndrome	7
79269	Sanfilippo syndrome type A	SGSH	Sanfilippo syndrome type A	7
906	Wiskott-Aldrich syndrome	WIPF1	Wiskott-Aldrich syndrome	7
882	Tyrosinemia type 1	FAH	Tyrosinemia type 1	7
79271	Sanfilippo syndrome type C	HGSNAT	Sanfilippo syndrome type C	6
567	22q11.2 deletion syndrome	SEC24C	22q11.2 deletion syndrome	6
703	Bullous pemphigoid	HLA-DQB1	Bullous pemphigoid	6
6	3-methylcrotonyl-CoA carboxylase deficiency	MCCC2	3-methylcrotonyl-CoA carboxylase deficiency	6
158	Systemic primary carnitine deficiency	SLC22A5	Systemic primary carnitine deficiency	6
60	Alpha-1-antitrypsin deficiency	SERPINA1	Alpha-1-antitrypsin deficiency	6
2440	Isolated split hand-split foot malformation	BTRC	Isolated split hand-split foot malformation	6
54	X-linked recessive ocular albinism	GPR143	X-linked recessive ocular albinism	6
614	Thomsen and Becker disease	CLCN1	Thomsen and Becker disease	6
564	Meckel syndrome	CSPP1	Meckel syndrome	6
269	Facioscapulohumeral dystrophy	SMCHD1	Facioscapulohumeral dystrophy	6
576	Mucolipidosis type II	GNPTAB	Mucolipidosis type II	6
342	Familial Mediterranean fever	MEFV	Familial Mediterranean fever	6
93598	Primary hyperoxaluria type 1	AGXT	Primary hyperoxaluria type 1	6
79270	Sanfilippo syndrome type B	NAGLU	Sanfilippo syndrome type B	6
861	Treacher-Collins syndrome	POLR1C	Treacher-Collins syndrome	6
337	Fibrodysplasia ossificans progressiva	ACVR1	Fibrodysplasia ossificans progressiva	6
104	Leber hereditary optic neuropathy	MT-ND6	Leber hereditary optic neuropathy	6
3463	Wolfram syndrome	CISD2	Wolfram syndrome	6
321	Multiple osteochondromas	EXT2	Multiple osteochondromas	5
521	Chronic myeloid leukemia	RUNX1	Chronic myeloid leukemia	5
89936	X-linked hypophosphatemia	PHEX	X-linked hypophosphatemia	5
2970	Prune belly syndrome	CHRM3	Prune belly syndrome	5
124	Blackfan-Diamond anemia	RPS28	Blackfan-Diamond anemia	5
79404	Severe generalized junctional epidermolysis bullosa	LAMA3	Severe generalized junctional epidermolysis bullosa	5
134	Beta-ketothiolase deficiency	ACAT1	Beta-ketothiolase deficiency	5
147	Carbamoyl-phosphate synthetase 1 deficiency	CPS1	Carbamoyl-phosphate synthetase 1 deficiency	5
1243	Best vitelliform macular dystrophy	BEST1	Best vitelliform macular dystrophy	5
550	MELAS	MT-TF	MELAS	5
26793	Very long chain acyl-CoA dehydrogenase deficiency	ACADVL	Very long chain acyl-CoA dehydrogenase deficiency	5
2116	Hartnup disease	SLC6A19	Hartnup disease	5
470	Lysinuric protein intolerance	SLC7A7	Lysinuric protein intolerance	5
3006	Pyridoxine-dependent epilepsy	PLPBP	Pyridoxine-dependent epilepsy	5
79432	Oculocutaneous albinism type 2	MC1R	Oculocutaneous albinism type 2	5
792	X-linked retinoschisis	RS1	X-linked retinoschisis	5
118	Beta-mannosidosis	MANBA	Beta-mannosidosis	5
3318	Essential thrombocythemia	TP53	Essential thrombocythemia	5
819	Smith-Magenis syndrome	IQSEC2	Smith-Magenis syndrome	5
33	Isovaleric acidemia	IVD	Isovaleric acidemia	5
93930	Bladder exstrophy	ISL1	Bladder exstrophy	5
391490	Adult-onset myasthenia gravis	HLA-DQA1	Adult-onset myasthenia gravis	5
904	Williams syndrome	LIMK1	Williams syndrome	5
256	Early-onset generalized limb-onset dystonia	EIF2AK2	Early-onset generalized limb-onset dystonia	5
391665	Homozygous familial hypercholesterolemia	LDLR	Homozygous familial hypercholesterolemia	5
892	Von Hippel-Lindau disease	VHL	Von Hippel-Lindau disease	5
635	Neuroblastoma	LIN28B	Neuroblastoma	5
478	Kallmann syndrome	CCDC141	Kallmann syndrome	4
821	Sotos syndrome	APC2	Sotos syndrome	4
902	Werner syndrome	WRN	Werner syndrome	4
111	Barth syndrome	TAFAZZIN	Barth syndrome	4
2901	Neuralgic amyotrophy	SEPTIN9	Neuralgic amyotrophy	4
98673	Autosomal dominant optic atrophy, classic form	DNM1L	Autosomal dominant optic atrophy, classic form	4
23	Argininosuccinic aciduria	ASL	Argininosuccinic aciduria	4
218	Darier disease	ATP2A2	Darier disease	4
589821	Congenital-onset Steinert myotonic dystrophy	DMPK	Congenital-onset Steinert myotonic dystrophy	4
1930	Herpes simplex virus encephalitis	TBK1	Herpes simplex virus encephalitis	4
293181	Malignant migrating focal seizures of infancy	SLC12A5	Malignant migrating focal seizures of infancy	4
34515	FKRP-related limb-girdle muscular dystrophy R9	FKRP	FKRP-related limb-girdle muscular dystrophy R9	4
250923	Isolated aniridia	FOXC1	Isolated aniridia	4
20	3-hydroxy-3-methylglutaric aciduria	HMGCL	3-hydroxy-3-methylglutaric aciduria	4
606	Proximal myotonic myopathy	CNBP	Proximal myotonic myopathy	4
2965	Prolactinoma	AIP	Prolactinoma	4
54595	Craniopharyngioma	CTNNB1	Craniopharyngioma	4
267	Calpain-3-related limb-girdle muscular dystrophy R1	CAPN3	Calpain-3-related limb-girdle muscular dystrophy R1	4
270	Oculopharyngeal muscular dystrophy	PABPN1	Oculopharyngeal muscular dystrophy	4
98759	Spinocerebellar ataxia type 17	TBP	Spinocerebellar ataxia type 17	4
2177	Hydranencephaly	NDE1	Hydranencephaly	4
684	Paramyotonia congenita of Von Eulenburg	SCN4A	Paramyotonia congenita of Von Eulenburg	4
388	Hirschsprung disease	SREBF1	Hirschsprung disease	4
543	Burkitt lymphoma	MYC	Burkitt lymphoma	4
53	Albers-Schönberg osteopetrosis	CLCN7	Albers-Schönberg osteopetrosis	4
3452	Whipple disease	IRF4	Whipple disease	4
138	CHARGE syndrome	CHD7	CHARGE syndrome	4
501	Lafora disease	NHLRC1	Lafora disease	4
668	Osteosarcoma	TP53	Osteosarcoma	4
110	Bardet-Biedl syndrome	CFAP418	Bardet-Biedl syndrome	4
100075	Neuroendocrine tumor of stomach	DAXX	Neuroendocrine tumor of stomach	4
505652	CDKL5-deficiency disorder	CDKL5	CDKL5-deficiency disorder	4
909	Cerebrotendinous xanthomatosis	CYP27A1	Cerebrotendinous xanthomatosis	4
231214	Beta-thalassemia major	HBB	Beta-thalassemia major	4
481	Kennedy disease	AR	Kennedy disease	4
637	Neurofibromatosis type 2	NF2	Neurofibromatosis type 2	4
503	Larsen syndrome	FLNB	Larsen syndrome	4
97279	Insulinoma	MEN1	Insulinoma	4
747	Autoimmune pulmonary alveolar proteinosis	HLA-DRB1	Autoimmune pulmonary alveolar proteinosis	4
199306	Cleft lip/palate	DLX4	Cleft lip/palate	4
3129	Sarcosinemia	SARDH	Sarcosinemia	4
93	Aspartylglucosaminuria	AGA	Aspartylglucosaminuria	4
2157	Histidinemia	HAL	Histidinemia	4
37553	Andersen-Tawil syndrome	KCNJ5	Andersen-Tawil syndrome	4
39044	Uveal melanoma	SF3B1	Uveal melanoma	4
415	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome	SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome	4
2322	Kabuki syndrome	KDM6A	Kabuki syndrome	4
899	Walker-Warburg syndrome	POMK	Walker-Warburg syndrome	4
65	Leber congenital amaurosis	PCYT1A	Leber congenital amaurosis	4
79501	Punctate palmoplantar keratoderma type 1	AAGAB	Punctate palmoplantar keratoderma type 1	4
289	Ellis Van Creveld syndrome	EVC2	Ellis Van Creveld syndrome	4
976	Adenine phosphoribosyltransferase deficiency	APRT	Adenine phosphoribosyltransferase deficiency	4
520	Acute promyelocytic leukemia	BCOR	Acute promyelocytic leukemia	4
565	Menkes disease	ATP7A	Menkes disease	4
242	46,XY complete gonadal dysgenesis	DMRT1	46,XY complete gonadal dysgenesis	3
2473	McKusick-Kaufman syndrome	MKKS	McKusick-Kaufman syndrome	3
3027	Caudal regression syndrome	FUZ	Caudal regression syndrome	3
808	Seckel syndrome	CENPE	Seckel syndrome	3
2059	Fryns syndrome	PIGN	Fryns syndrome	3
1934	Early infantile epileptic encephalopathy	PIGP	Early infantile epileptic encephalopathy	3
676	Hereditary chronic pancreatitis	CPA1	Hereditary chronic pancreatitis	3
85198	Dysspondyloenchondromatosis	COL2A1	Dysspondyloenchondromatosis	3
2052	Fraser syndrome	GRIP1	Fraser syndrome	3
35858	Imerslund-Gräsbeck syndrome	CUBN	Imerslund-Gräsbeck syndrome	3
13	6-pyruvoyl-tetrahydropterin synthase deficiency	PTS	6-pyruvoyl-tetrahydropterin synthase deficiency	3
93616	Hemoglobin H disease	HBA1	Hemoglobin H disease	3
425	Apolipoprotein A-I deficiency	ABCA1	Apolipoprotein A-I deficiency	3
2635	Metatropic dysplasia	TRPV4	Metatropic dysplasia	3
93583	Congenital thrombotic thrombocytopenic purpura	ADAMTS13	Congenital thrombotic thrombocytopenic purpura	3
75234	Cholesteryl ester storage disease	LIPA	Cholesteryl ester storage disease	3
231183	Usher syndrome type 3	HARS1	Usher syndrome type 3	3
79318	PMM2-CDG	PMM2	PMM2-CDG	3
475	Joubert syndrome	ARL3	Joubert syndrome	3
33364	Trichothiodystrophy	TARS1	Trichothiodystrophy	3
842	Testicular seminomatous germ cell tumor	KIT	Testicular seminomatous germ cell tumor	3
95716	Familial thyroid dyshormonogenesis	IYD	Familial thyroid dyshormonogenesis	3
816	Sjögren-Larsson syndrome	ALDH3A2	Sjögren-Larsson syndrome	3
1873	Jalili syndrome	CNNM4	Jalili syndrome	3
528	Congenital generalized lipodystrophy	FOS	Congenital generalized lipodystrophy	3
154	Familial isolated dilated cardiomyopathy	BAG5	Familial isolated dilated cardiomyopathy	3
79277	Congenital erythropoietic porphyria	GATA1	Congenital erythropoietic porphyria	3
136	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy	NOTCH3	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy	3
3453	Autoimmune polyendocrinopathy type 1	AIRE	Autoimmune polyendocrinopathy type 1	3
570	Moebius syndrome	REV3L	Moebius syndrome	3
392	Holt-Oram syndrome	TBX5	Holt-Oram syndrome	3
308552	Glycogen storage disease due to acid maltase deficiency, infantile onset	GAA	Glycogen storage disease due to acid maltase deficiency, infantile onset	3
3319	Congenital amegakaryocytic thrombocytopenia	MPL	Congenital amegakaryocytic thrombocytopenia	3
83469	Desmoplastic small round cell tumor	EWSR1	Desmoplastic small round cell tumor	3
319	Skeletal Ewing sarcoma	ETV4	Skeletal Ewing sarcoma	3
2495	Meningioma	SMO	Meningioma	3
79258	Glycogen storage disease due to glucose-6-phosphatase deficiency type Ia	G6PC1	Glycogen storage disease due to glucose-6-phosphatase deficiency type Ia	3
55880	Chondrosarcoma	EXT1	Chondrosarcoma	3
805	Tuberous sclerosis complex	TSC2	Tuberous sclerosis complex	3
146	Differentiated thyroid carcinoma	LPAR4	Differentiated thyroid carcinoma	3
746	Mitochondrial trifunctional protein deficiency	HADHB	Mitochondrial trifunctional protein deficiency	3
33402	Pediatric hepatocellular carcinoma	CTNNB1	Pediatric hepatocellular carcinoma	3
34587	Glycogen storage disease due to LAMP-2 deficiency	LAMP2	Glycogen storage disease due to LAMP-2 deficiency	3
84064	Syndromic diarrhea	SKIV2L	Syndromic diarrhea	3
2512	Autosomal recessive primary microcephaly	ANKLE2	Autosomal recessive primary microcephaly	3
3071	Costello syndrome	HRAS	Costello syndrome	3
2138	46,XX ovotesticular disorder of sex development	NR5A1	46,XX ovotesticular disorder of sex development	3
2461	Marden-Walker syndrome	PIEZO2	Marden-Walker syndrome	3
2614	Nail-patella syndrome	LMX1B	Nail-patella syndrome	3
2869	Peutz-Jeghers syndrome	STK11	Peutz-Jeghers syndrome	3
59	Allan-Herndon-Dudley syndrome	SLC16A2	Allan-Herndon-Dudley syndrome	3
101081	Charcot-Marie-Tooth disease type 1A	PMP22	Charcot-Marie-Tooth disease type 1A	3
207	Crouzon syndrome	ERF	Crouzon syndrome	3
1114	Aplasia cutis congenita	DLL4	Aplasia cutis congenita	3
474	Jeune syndrome	CEP120	Jeune syndrome	3
1234	Bartsocas-Papas syndrome	RIPK4	Bartsocas-Papas syndrome	3
50251	Pleural mesothelioma	BAP1	Pleural mesothelioma	3
570422	Galactose mutarotase deficiency	GALM	Galactose mutarotase deficiency	3
313	Lamellar ichthyosis	LIPN	Lamellar ichthyosis	3
93110	Posterior urethral valve	BNC2	Posterior urethral valve	3
3206	Stüve-Wiedemann syndrome	LIFR	Stüve-Wiedemann syndrome	3
353	Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5	SGCG	Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5	3
766	Hemolytic anemia due to red cell pyruvate kinase deficiency	PKLR	Hemolytic anemia due to red cell pyruvate kinase deficiency	3
31150	Tangier disease	ABCA1	Tangier disease	3
729	Polycythemia vera	TET2	Polycythemia vera	3
53693	GRACILE syndrome	BCS1L	GRACILE syndrome	3
822	Hereditary spherocytosis	EPB42	Hereditary spherocytosis	3
534	Oculocerebrorenal syndrome of Lowe	OCRL	Oculocerebrorenal syndrome of Lowe	3
351	Galactosialidosis	CTSA	Galactosialidosis	3
71277	Classic glucose transporter type 1 deficiency syndrome	SLC2A1	Classic glucose transporter type 1 deficiency syndrome	3
281	Monosomy 5p	CTNND2	Monosomy 5p	3
210122	Congenital alveolar capillary dysplasia	FOXF1	Congenital alveolar capillary dysplasia	3
45448	Miyoshi myopathy	DYSF	Miyoshi myopathy	3
93256	Fragile X-associated tremor/ataxia syndrome	FMR1	Fragile X-associated tremor/ataxia syndrome	3
181	X-linked hypohidrotic ectodermal dysplasia	EDA2R	X-linked hypohidrotic ectodermal dysplasia	3
2750	Orofaciodigital syndrome type 1	OFD1	Orofaciodigital syndrome type 1	3
3162	Sézary syndrome	CD28	Sézary syndrome	3
163596	Hb Bart's hydrops fetalis	HBA1	Hb Bart's hydrops fetalis	3
524	Li-Fraumeni syndrome	CHEK2	Li-Fraumeni syndrome	3
51636	WHIM syndrome	CXCR4	WHIM syndrome	3
1270	Bowen-Conradi syndrome	EMG1	Bowen-Conradi syndrome	3
798	Schinzel-Giedion syndrome	SETBP1	Schinzel-Giedion syndrome	3
101	Dentatorubral pallidoluysian atrophy	ATN1	Dentatorubral pallidoluysian atrophy	3
1340	Cardiofaciocutaneous syndrome	MAP2K2	Cardiofaciocutaneous syndrome	3
682	Hyperkalemic periodic paralysis	SCN4A	Hyperkalemic periodic paralysis	3
628	Diastrophic dysplasia	SLC26A2	Diastrophic dysplasia	3
681	Hypokalemic periodic paralysis	KCNE3	Hypokalemic periodic paralysis	3
199	Cornelia de Lange syndrome	BRD4	Cornelia de Lange syndrome	3
2290	Microvillus inclusion disease	STX3	Microvillus inclusion disease	3
52417	MALT lymphoma	BCL10	MALT lymphoma	3
363999	Non-immune hydrops fetalis	THSD1	Non-immune hydrops fetalis	3
90	Argininemia	ARG1	Argininemia	3
742	Prolidase deficiency	PEPD	Prolidase deficiency	3
125	Bloom syndrome	BLM	Bloom syndrome	3
212	Cystathioninuria	CTH	Cystathioninuria	3
52416	Mantle cell lymphoma	IGH	Mantle cell lymphoma	3
480	Kearns-Sayre syndrome	MT-TL1	Kearns-Sayre syndrome	3
1452	Cleidocranial dysplasia	RUNX2	Cleidocranial dysplasia	3
1762	Proximal Xq28 duplication syndrome	MECP2	Proximal Xq28 duplication syndrome	3
275777	Heritable pulmonary arterial hypertension	EIF2AK4	Heritable pulmonary arterial hypertension	3
98863	X-linked Emery-Dreifuss muscular dystrophy	FHL1	X-linked Emery-Dreifuss muscular dystrophy	3
349	Fucosidosis	FUCA1	Fucosidosis	3
2576	Mulibrey nanism	TRIM37	Mulibrey nanism	3
333	Farber disease	ASAH1	Farber disease	3
251899	Choroid plexus carcinoma	TP53	Choroid plexus carcinoma	3
79408	Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form	MMP1	Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form	3
245	Nager syndrome	SF3B4	Nager syndrome	3
37	Acrodermatitis enteropathica	SLC39A4	Acrodermatitis enteropathica	3
596	X-linked centronuclear myopathy	MTM1	X-linked centronuclear myopathy	3
447	Paroxysmal nocturnal hemoglobinuria	PIGA	Paroxysmal nocturnal hemoglobinuria	3
464	Incontinentia pigmenti	IKBKG	Incontinentia pigmenti	3
873	Desmoid tumor	APC	Desmoid tumor	3
79433	Oculocutaneous albinism type 3	TYRP1	Oculocutaneous albinism type 3	3
41	Dyschromatosis symmetrica hereditaria	ADAR	Dyschromatosis symmetrica hereditaria	3
461	Recessive X-linked ichthyosis	STS	Recessive X-linked ichthyosis	3
931	Acheiropodia	LMBR1	Acheiropodia	3
261265	17q12 microdeletion syndrome	LHX1	17q12 microdeletion syndrome	3
175	Cartilage-hair hypoplasia	RMRP	Cartilage-hair hypoplasia	3
578	Mucolipidosis type IV	MCOLN1	Mucolipidosis type IV	3
2189	Hydrolethalus	KIF7	Hydrolethalus	3
312	Autosomal dominant epidermolytic ichthyosis	KRT10	Autosomal dominant epidermolytic ichthyosis	3
414	Gyrate atrophy of choroid and retina	OAT	Gyrate atrophy of choroid and retina	3
391397	Hereditary sensory and autonomic neuropathy type 7	SCN11A	Hereditary sensory and autonomic neuropathy type 7	2
391389	Familial episodic pain syndrome with predominantly upper body involvement	TRPA1	Familial episodic pain syndrome with predominantly upper body involvement	2
391372	Intellectual disability-severe speech delay-mild dysmorphism syndrome	FOXP1	Intellectual disability-severe speech delay-mild dysmorphism syndrome	2
391366	Growth retardation-mild developmental delay-chronic hepatitis syndrome	SH2B3	Growth retardation-mild developmental delay-chronic hepatitis syndrome	2
391392	Familial episodic pain syndrome with predominantly lower limb involvement	SCN11A	Familial episodic pain syndrome with predominantly lower limb involvement	2
435934	COG2-CDG	COG2	COG2-CDG	2
391376	Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome	ASNS	Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome	2
371428	Multicentric osteolysis-nodulosis-arthropathy spectrum	MMP14	Multicentric osteolysis-nodulosis-arthropathy spectrum	2
411986	Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome	DOCK7	Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome	2
435804	Short stature-advanced bone age-early-onset osteoarthritis syndrome	ACAN	Short stature-advanced bone age-early-onset osteoarthritis syndrome	2
435819	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation	TFG	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation	2
411634	Juvenile nephropathic cystinosis	CTNS	Juvenile nephropathic cystinosis	2
391677	Short stature-optic atrophy-Pelger-Huët anomaly syndrome	NBAS	Short stature-optic atrophy-Pelger-Huët anomaly syndrome	2
435660	LIPE-related familial partial lipodystrophy	LIPE	LIPE-related familial partial lipodystrophy	2
435953	Progeroid features-hepatocellular carcinoma predisposition syndrome	SPRTN	Progeroid features-hepatocellular carcinoma predisposition syndrome	2
391487	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	STAT1	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	2
391646	Feingold syndrome type 2	MIR17HG	Feingold syndrome type 2	2
412022	Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome	ASPH	Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome	2
391351	SURF1-related Charcot-Marie-Tooth disease type 4	SURF1	SURF1-related Charcot-Marie-Tooth disease type 4	2
435988	Chronic atrial and intestinal dysrhythmia syndrome	SGO1	Chronic atrial and intestinal dysrhythmia syndrome	2
435930	Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome	SIX6	Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome	2
391641	Feingold syndrome type 1	MYCN	Feingold syndrome type 1	2
391343	Fatal post-viral neurodegenerative disorder	PRF1	Fatal post-viral neurodegenerative disorder	2
435845	Lethal neonatal spasticity-epileptic encephalopathy syndrome	BRAT1	Lethal neonatal spasticity-epileptic encephalopathy syndrome	2
391348	Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome	SFXN4	Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome	2
435651	CIDEC-related familial partial lipodystrophy	CIDEC	CIDEC-related familial partial lipodystrophy	2
397596	Activated PI3K-delta syndrome	PIK3CD	Activated PI3K-delta syndrome	2
435628	Keppen-Lubinsky syndrome	KCNJ6	Keppen-Lubinsky syndrome	2
397750	Periodic paralysis with later-onset distal motor neuropathy	MT-ATP8	Periodic paralysis with later-onset distal motor neuropathy	2
397590	Silver-Russell syndrome due to a point mutation	PLAG1	Silver-Russell syndrome due to a point mutation	2
397927	Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome	TBXT	Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome	2
397922	Ferro-cerebro-cutaneous syndrome	PIGA	Ferro-cerebro-cutaneous syndrome	2
397787	Severe combined immunodeficiency due to IKK2 deficiency	IKBKB	Severe combined immunodeficiency due to IKK2 deficiency	2
397755	Periodic paralysis with transient compartment-like syndrome	CACNA1S	Periodic paralysis with transient compartment-like syndrome	2
